director_name,movie_title,movie_imdb_link,title_year,imdb_score
James Cameron,Avatar,https://www.imdb.com/title/tt0499549/?ref_=fn_tt_tt_1,2009,7.9
Gore Verbinski,Pirates of the Caribbean: At World's End,https://www.imdb.com/title/tt0449088/?ref_=fn_tt_tt_1,2007,7.1
Sam Mendes,Spectre,https://www.imdb.com/title/tt2379713/?ref_=fn_tt_tt_1,2015,6.8
Christopher Nolan,The Dark Knight Rises,https://www.imdb.com/title/tt1345836/?ref_=fn_tt_tt_1,2012,8.5
Doug Walker,Star Wars: Episode VII - The Force Awakens,https://www.imdb.com/title/tt2488496/?ref_=nv_sr_2?ref_=nv_sr_2,,7.1
Andrew Stanton,John Carter,https://www.imdb.com/title/tt0401729/?ref_=fn_tt_tt_1,2012,6.6
Sam Raimi,Spider Man 3,https://www.imdb.com/title/tt0413300/?ref_=fn_tt_tt_1,2007,6.2
Nathan Greno,Tangled,https://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,2010,7.8
Joss Whedon,Avengers: Age of Ultron,https://www.imdb.com/title/tt2395427/?ref_=fn_tt_tt_1,2015,7.5
David Yates,Harry Potter and the Half-Blood Prince,https://www.imdb.com/title/tt0417741/?ref_=fn_tt_tt_1,2009,7.5
Zack Snyder,Batman v Superman: Dawn of Justice,https://www.imdb.com/title/tt2975590/?ref_=fn_tt_tt_1,2016,6.9
Bryan Singer,Superman Returns,https://www.imdb.com/title/tt0348150/?ref_=fn_tt_tt_1,2006,6.1
Marc Forster,Quantum of Solace,https://www.imdb.com/title/tt0830515/?ref_=fn_tt_tt_1,2008,6.7
Gore Verbinski,Pirates of the Caribbean: Dead Man's Chest,https://www.imdb.com/title/tt0383574/?ref_=fn_tt_tt_1,2006,7.3
Gore Verbinski,The Lone Ranger,https://www.imdb.com/title/tt1210819/?ref_=fn_tt_tt_1,2013,6.5
Zack Snyder,Man of Steel,https://www.imdb.com/title/tt0770828/?ref_=fn_tt_tt_1,2013,7.2
Andrew Adamson,The Chronicles of Narnia: Prince Caspian,https://www.imdb.com/title/tt0499448/?ref_=fn_tt_tt_1,2008,6.6
Joss Whedon,The Avengers,https://www.imdb.com/title/tt0848228/?ref_=fn_tt_tt_1,2012,8.1
Rob Marshall,Pirates of the Caribbean: On Stranger Tides,https://www.imdb.com/title/tt1298650/?ref_=fn_tt_tt_1,2011,6.7
Barry Sonnenfeld,Men in Black 3,https://www.imdb.com/title/tt1409024/?ref_=fn_tt_tt_1,2012,6.8
Peter Jackson,The Hobbit: The Battle of the Five Armies,https://www.imdb.com/title/tt2310332/?ref_=fn_tt_tt_1,2014,7.5
Marc Webb,The Amazing Spider-Man,https://www.imdb.com/title/tt0948470/?ref_=fn_tt_tt_1,2012,7
Ridley Scott,Robin Hood,https://www.imdb.com/title/tt0955308/?ref_=fn_tt_tt_1,2010,6.7
Peter Jackson,The Hobbit: The Desolation of Smaug,https://www.imdb.com/title/tt1170358/?ref_=fn_tt_tt_1,2013,7.9
Chris Weitz,The Golden Compass,https://www.imdb.com/title/tt0385752/?ref_=fn_tt_tt_1,2007,6.1
Peter Jackson,King Kong,https://www.imdb.com/title/tt0360717/?ref_=fn_tt_tt_1,2005,7.2
James Cameron,Titanic,https://www.imdb.com/title/tt0120338/?ref_=fn_tt_tt_1,1997,7.7
Anthony Russo,Captain America: Civil War,https://www.imdb.com/title/tt3498820/?ref_=fn_tt_tt_1,2016,8.2
Peter Berg,Battleship,https://www.imdb.com/title/tt1440129/?ref_=fn_tt_tt_1,2012,5.9
Colin Trevorrow,Jurassic World,https://www.imdb.com/title/tt0369610/?ref_=fn_tt_tt_1,2015,7
Sam Mendes,Skyfall,https://www.imdb.com/title/tt1074638/?ref_=fn_tt_tt_1,2012,7.8
Sam Raimi,Spider Man 2,https://www.imdb.com/title/tt0316654/?ref_=fn_tt_tt_1,2004,7.3
Shane Black,Iron Man 3,https://www.imdb.com/title/tt1300854/?ref_=fn_tt_tt_1,2013,7.2
Tim Burton,Alice in Wonderland,https://www.imdb.com/title/tt1014759/?ref_=fn_tt_tt_1,2010,6.5
Brett Ratner,X-Men: The Last Stand,https://www.imdb.com/title/tt0376994/?ref_=fn_tt_tt_1,2006,6.8
Dan Scanlon,Monsters University,https://www.imdb.com/title/tt1453405/?ref_=fn_tt_tt_1,2013,7.3
Michael Bay,Transformers: Revenge of the Fallen,https://www.imdb.com/title/tt1055369/?ref_=fn_tt_tt_1,2009,6
Michael Bay,Transformers: Age of Extinction,https://www.imdb.com/title/tt2109248/?ref_=fn_tt_tt_1,2014,5.7
Sam Raimi,Oz the Great and Powerful,https://www.imdb.com/title/tt1623205/?ref_=fn_tt_tt_1,2013,6.4
Marc Webb,The Amazing Spider-Man 2,https://www.imdb.com/title/tt1872181/?ref_=fn_tt_tt_1,2014,6.7
Joseph Kosinski,TRON: Legacy,https://www.imdb.com/title/tt1104001/?ref_=fn_tt_tt_1,2010,6.8
John Lasseter,Cars 2,https://www.imdb.com/title/tt1216475/?ref_=fn_tt_tt_1,2011,6.3
Martin Campbell,Green Lantern,https://www.imdb.com/title/tt1133985/?ref_=fn_tt_tt_1,2011,5.6
Lee Unkrich,Toy Story 3,https://www.imdb.com/title/tt0435761/?ref_=fn_tt_tt_1,2010,8.3
McG,Terminator Salvation,https://www.imdb.com/title/tt0438488/?ref_=fn_tt_tt_1,2009,6.6
James Wan,Furious 7,https://www.imdb.com/title/tt2820852/?ref_=fn_tt_tt_1,2015,7.2
Marc Forster,World War Z,https://www.imdb.com/title/tt0816711/?ref_=fn_tt_tt_1,2013,7
Bryan Singer,X-Men: Days of Future Past,https://www.imdb.com/title/tt1877832/?ref_=fn_tt_tt_1,2014,8
J.J. Abrams,Star Trek Into Darkness,https://www.imdb.com/title/tt1408101/?ref_=fn_tt_tt_1,2013,7.8
Bryan Singer,Jack the Giant Slayer,https://www.imdb.com/title/tt1351685/?ref_=fn_tt_tt_1,2013,6.3
Baz Luhrmann,The Great Gatsby,https://www.imdb.com/title/tt1343092/?ref_=fn_tt_tt_1,2013,7.3
Mike Newell,Prince of Persia: The Sands of Time,https://www.imdb.com/title/tt0473075/?ref_=fn_tt_tt_1,2010,6.6
Guillermo del Toro,Pacific Rim,https://www.imdb.com/title/tt1663662/?ref_=fn_tt_tt_1,2013,7
Michael Bay,Transformers: Dark of the Moon,https://www.imdb.com/title/tt1399103/?ref_=fn_tt_tt_1,2011,6.3
Steven Spielberg,Indiana Jones and the Kingdom of the Crystal Skull,https://www.imdb.com/title/tt0367882/?ref_=fn_tt_tt_1,2008,6.2
Peter Sohn,The Good Dinosaur,https://www.imdb.com/title/tt1979388/?ref_=fn_tt_tt_1,2015,6.8
Mark Andrews,Brave,https://www.imdb.com/title/tt1217209/?ref_=fn_tt_tt_1,2012,7.2
Justin Lin,Star Trek Beyond,https://www.imdb.com/title/tt2660888/?ref_=fn_tt_tt_1,2016,7.5
Andrew Stanton,WALL-E,https://www.imdb.com/title/tt0910970/?ref_=fn_tt_tt_1,2008,8.4
